,date,price,volume
60,2021-02-01 01:00:00+00:00,5.966,605
61,2021-02-02 01:00:00+00:00,5.956,537
62,2021-02-03 01:00:00+00:00,5.761,821
63,2021-02-04 01:00:00+00:00,5.953,704
64,2021-02-05 01:00:00+00:00,5.821,706
65,2021-02-06 01:00:00+00:00,5.514,749
66,2021-02-07 01:00:00+00:00,5.476,634
67,2021-02-08 01:00:00+00:00,5.606,556
68,2021-02-09 01:00:00+00:00,5.548,586
69,2021-02-10 01:00:00+00:00,5.275,831
70,2021-02-11 01:00:00+00:00,5.14,755
71,2021-02-12 01:00:00+00:00,5.022,833
72,2021-02-13 01:00:00+00:00,5.261,824
73,2021-02-14 01:00:00+00:00,5.319,808
74,2021-02-15 01:00:00+00:00,5.481,566
75,2021-02-16 01:00:00+00:00,5.634,589
76,2021-02-17 01:00:00+00:00,5.477,743
77,2021-02-18 01:00:00+00:00,5.621,751
78,2021-02-19 01:00:00+00:00,5.626,692
79,2021-02-20 01:00:00+00:00,5.791,718
80,2021-02-21 01:00:00+00:00,5.682,690
81,2021-02-22 01:00:00+00:00,5.501,584
82,2021-02-23 01:00:00+00:00,5.544,605
83,2021-02-24 01:00:00+00:00,5.493,776
84,2021-02-25 01:00:00+00:00,5.439,745
85,2021-02-26 01:00:00+00:00,5.576,756
86,2021-02-27 01:00:00+00:00,5.647,687
87,2021-02-28 01:00:00+00:00,5.669,689
88,2021-03-01 01:00:00+00:00,5.634,591
89,2021-03-02 01:00:00+00:00,5.758,621
90,2021-03-03 01:00:00+00:00,5.891,749
91,2021-03-04 01:00:00+00:00,5.942,674
92,2021-03-05 01:00:00+00:00,6.029,764
93,2021-03-06 01:00:00+00:00,6.172,698
94,2021-03-07 01:00:00+00:00,6.204,657
95,2021-03-08 01:00:00+00:00,6.287,650
96,2021-03-09 01:00:00+00:00,6.355,596
97,2021-03-10 01:00:00+00:00,6.093,752
98,2021-03-11 01:00:00+00:00,6.001,718
99,2021-03-12 01:00:00+00:00,6.027,740
100,2021-03-13 01:00:00+00:00,6.19,790
101,2021-03-14 01:00:00+00:00,6.136,610
102,2021-03-15 01:00:00+00:00,6.013,553
103,2021-03-16 01:00:00+00:00,6.134,632
104,2021-03-17 01:00:00+00:00,5.961,1008
105,2021-03-18 01:00:00+00:00,6.059,946
106,2021-03-19 01:00:00+00:00,6.193,1038
107,2021-03-20 01:00:00+00:00,6.193,862
108,2021-03-21 01:00:00+00:00,6.292,873
109,2021-03-22 01:00:00+00:00,6.284,692
110,2021-03-23 01:00:00+00:00,6.188,634
111,2021-03-24 01:00:00+00:00,6.175,652
112,2021-03-25 01:00:00+00:00,6.103,610
113,2021-03-26 01:00:00+00:00,6.094,613
114,2021-03-27 01:00:00+00:00,6.055,597
115,2021-03-28 01:00:00+00:00,5.875,542
116,2021-03-29 01:00:00+00:00,5.77,516
117,2021-03-30 01:00:00+00:00,5.819,468
118,2021-03-31 01:00:00+00:00,5.712,501
119,2021-04-01 01:00:00+00:00,5.599,473
120,2021-04-02 01:00:00+00:00,5.708,518
121,2021-04-03 01:00:00+00:00,5.866,663
122,2021-04-04 01:00:00+00:00,5.988,562
123,2021-04-05 01:00:00+00:00,6.032,508
124,2021-04-06 01:00:00+00:00,6.143,545
125,2021-04-07 01:00:00+00:00,5.64,780
126,2021-04-08 01:00:00+00:00,5.468,820
127,2021-04-09 01:00:00+00:00,5.483,861
128,2021-04-10 01:00:00+00:00,5.472,781
129,2021-04-11 01:00:00+00:00,5.389,648
130,2021-04-12 01:00:00+00:00,5.366,526
131,2021-04-13 01:00:00+00:00,5.173,472
132,2021-04-14 01:00:00+00:00,5.425,167
133,2021-04-15 01:00:00+00:00,5.464,554
134,2021-04-16 01:00:00+00:00,5.539,510
135,2021-04-17 01:00:00+00:00,5.584,506
136,2021-04-18 01:00:00+00:00,5.534,446
137,2021-04-19 01:00:00+00:00,5.515,391
138,2021-04-20 01:00:00+00:00,5.549,426
139,2021-04-21 01:00:00+00:00,5.695,436
140,2021-04-22 01:00:00+00:00,5.678,395
141,2021-04-23 01:00:00+00:00,5.667,397
142,2021-04-24 01:00:00+00:00,5.68,440
143,2021-04-25 01:00:00+00:00,5.708,418
144,2021-04-26 01:00:00+00:00,5.735,347
145,2021-04-27 01:00:00+00:00,5.776,388
146,2021-04-28 01:00:00+00:00,5.778,388
147,2021-04-29 01:00:00+00:00,5.721,420
148,2021-04-30 01:00:00+00:00,5.836,468
149,2021-05-01 01:00:00+00:00,5.935,423
150,2021-05-02 01:00:00+00:00,5.917,419
151,2021-05-03 01:00:00+00:00,5.973,395
152,2021-05-04 01:00:00+00:00,6.033,554
153,2021-05-05 01:00:00+00:00,5.871,431
154,2021-05-06 01:00:00+00:00,5.807,392
155,2021-05-07 01:00:00+00:00,5.687,408
156,2021-05-08 01:00:00+00:00,5.722,358
157,2021-05-09 01:00:00+00:00,5.85,352
158,2021-05-10 01:00:00+00:00,5.717,340
159,2021-05-11 01:00:00+00:00,5.742,298
160,2021-05-12 01:00:00+00:00,5.879,322
161,2021-05-13 01:00:00+00:00,5.811,308
162,2021-05-14 01:00:00+00:00,5.861,353
163,2021-05-15 01:00:00+00:00,5.788,321
164,2021-05-16 01:00:00+00:00,5.825,299
165,2021-05-17 01:00:00+00:00,5.903,262
166,2021-05-18 01:00:00+00:00,5.83,271
167,2021-05-19 01:00:00+00:00,5.968,253
168,2021-05-20 01:00:00+00:00,6.004,284
169,2021-05-21 01:00:00+00:00,5.792,282
170,2021-05-22 01:00:00+00:00,5.927,296
171,2021-05-23 01:00:00+00:00,5.871,286
172,2021-05-24 01:00:00+00:00,6.06,243
173,2021-05-25 01:00:00+00:00,6.084,206
174,2021-05-26 01:00:00+00:00,6.055,242
175,2021-05-27 01:00:00+00:00,6.083,214
176,2021-05-28 01:00:00+00:00,5.932,305
177,2021-05-29 01:00:00+00:00,5.927,287
178,2021-05-30 01:00:00+00:00,5.867,287
179,2021-05-31 01:00:00+00:00,5.975,271
180,2021-06-01 01:00:00+00:00,5.994,246
181,2021-06-02 01:00:00+00:00,6.059,243
182,2021-06-03 01:00:00+00:00,6.188,232
183,2021-06-04 01:00:00+00:00,6.037,291
184,2021-06-05 01:00:00+00:00,6.147,303
185,2021-06-06 01:00:00+00:00,6.252,263
186,2021-06-07 01:00:00+00:00,6.282,241
187,2021-06-08 01:00:00+00:00,6.418,217
188,2021-06-09 01:00:00+00:00,6.24,217
189,2021-06-10 01:00:00+00:00,6.073,226
190,2021-06-11 01:00:00+00:00,6.251,222
191,2021-06-12 01:00:00+00:00,6.391,232
192,2021-06-13 01:00:00+00:00,6.266,222
193,2021-06-14 01:00:00+00:00,6.193,209
194,2021-06-15 01:00:00+00:00,6.272,222
195,2021-06-16 01:00:00+00:00,6.471,276
196,2021-06-17 01:00:00+00:00,6.463,210
197,2021-06-18 01:00:00+00:00,6.47,214
198,2021-06-19 01:00:00+00:00,6.45,214
199,2021-06-20 01:00:00+00:00,6.406,223
200,2021-06-21 01:00:00+00:00,6.375,202
201,2021-06-22 01:00:00+00:00,6.29,201
202,2021-06-23 01:00:00+00:00,6.191,209
203,2021-06-24 01:00:00+00:00,5.898,328
204,2021-06-25 01:00:00+00:00,5.584,398
205,2021-06-26 01:00:00+00:00,5.661,304
206,2021-06-27 01:00:00+00:00,5.793,302
207,2021-06-28 01:00:00+00:00,5.809,258
208,2021-06-29 01:00:00+00:00,5.702,239
209,2021-06-30 01:00:00+00:00,5.734,284
210,2021-07-01 01:00:00+00:00,5.704,226
211,2021-07-02 01:00:00+00:00,5.617,242
212,2021-07-03 01:00:00+00:00,5.742,240
213,2021-07-04 01:00:00+00:00,5.84,209
214,2021-07-05 01:00:00+00:00,5.718,237
215,2021-07-06 01:00:00+00:00,5.64,240
216,2021-07-07 01:00:00+00:00,5.67,249
217,2021-07-08 01:00:00+00:00,5.617,254
218,2021-07-09 01:00:00+00:00,5.963,198
219,2021-07-10 01:00:00+00:00,6.062,196
220,2021-07-11 01:00:00+00:00,6.018,184
221,2021-07-12 01:00:00+00:00,6.027,184
222,2021-07-13 01:00:00+00:00,5.954,208
223,2021-07-14 01:00:00+00:00,5.964,186
224,2021-07-15 01:00:00+00:00,5.974,183
225,2021-07-16 01:00:00+00:00,5.983,179
226,2021-07-17 01:00:00+00:00,6.16,211
227,2021-07-18 01:00:00+00:00,6.258,227
228,2021-07-19 01:00:00+00:00,6.309,187
229,2021-07-20 01:00:00+00:00,6.216,181
230,2021-07-21 01:00:00+00:00,6.274,203
231,2021-07-22 01:00:00+00:00,6.354,163
232,2021-07-23 01:00:00+00:00,6.378,182
233,2021-07-24 01:00:00+00:00,6.448,183
234,2021-07-25 01:00:00+00:00,6.482,189
235,2021-07-26 01:00:00+00:00,6.404,186
236,2021-07-27 01:00:00+00:00,6.47,132
237,2021-07-28 01:00:00+00:00,6.406,208
238,2021-07-29 01:00:00+00:00,6.458,172
239,2021-07-30 01:00:00+00:00,6.415,190
240,2021-07-31 01:00:00+00:00,6.51,193
241,2021-08-01 01:00:00+00:00,6.575,226
242,2021-08-02 01:00:00+00:00,6.699,174
243,2021-08-03 01:00:00+00:00,6.608,179
244,2021-08-04 01:00:00+00:00,6.657,178
245,2021-08-05 01:00:00+00:00,6.698,182
246,2021-08-06 01:00:00+00:00,6.64,201
247,2021-08-07 01:00:00+00:00,6.563,192
248,2021-08-08 01:00:00+00:00,6.698,217
249,2021-08-09 01:00:00+00:00,6.647,190
250,2021-08-10 01:00:00+00:00,6.583,190
251,2021-08-11 01:00:00+00:00,6.45,218
252,2021-08-12 01:00:00+00:00,6.517,179
253,2021-08-13 01:00:00+00:00,6.392,212
254,2021-08-14 01:00:00+00:00,6.431,212
255,2021-08-15 01:00:00+00:00,6.485,194
256,2021-08-16 01:00:00+00:00,6.515,186
257,2021-08-17 01:00:00+00:00,6.555,182
258,2021-08-18 01:00:00+00:00,6.372,182
259,2021-08-19 01:00:00+00:00,6.315,203
260,2021-08-20 01:00:00+00:00,6.378,205
261,2021-08-21 01:00:00+00:00,6.374,200
262,2021-08-22 01:00:00+00:00,6.43,195
263,2021-08-23 01:00:00+00:00,6.523,198
264,2021-08-24 01:00:00+00:00,6.47,203
265,2021-08-25 01:00:00+00:00,6.515,198
266,2021-08-26 01:00:00+00:00,6.653,192
267,2021-08-27 01:00:00+00:00,6.665,196
268,2021-08-28 01:00:00+00:00,6.814,202
269,2021-08-29 01:00:00+00:00,6.825,218
270,2021-08-30 01:00:00+00:00,6.944,167
271,2021-08-31 01:00:00+00:00,6.932,170
272,2021-09-01 01:00:00+00:00,7.188,188
273,2021-09-02 01:00:00+00:00,7.002,183
274,2021-09-03 01:00:00+00:00,7.019,171
275,2021-09-04 01:00:00+00:00,7.251,195
276,2021-09-05 01:00:00+00:00,7.254,202
277,2021-09-06 01:00:00+00:00,7.344,175
278,2021-09-07 01:00:00+00:00,7.405,137
279,2021-09-08 01:00:00+00:00,7.333,159
280,2021-09-09 01:00:00+00:00,7.374,170
281,2021-09-10 01:00:00+00:00,7.198,208
282,2021-09-11 01:00:00+00:00,7.273,195
283,2021-09-12 01:00:00+00:00,7.254,186
284,2021-09-13 01:00:00+00:00,7.335,160
285,2021-09-14 01:00:00+00:00,7.408,155
286,2021-09-15 01:00:00+00:00,7.429,139
287,2021-09-16 01:00:00+00:00,7.215,152
288,2021-09-17 01:00:00+00:00,7.423,168
289,2021-09-18 01:00:00+00:00,7.472,173
290,2021-09-19 01:00:00+00:00,7.398,194
291,2021-09-20 01:00:00+00:00,7.343,149
292,2021-09-21 01:00:00+00:00,7.397,165
293,2021-09-22 01:00:00+00:00,5.105,1073
294,2021-09-23 01:00:00+00:00,4.694,384
295,2021-09-24 01:00:00+00:00,5.182,304
296,2021-09-25 01:00:00+00:00,5.45,279
297,2021-09-26 01:00:00+00:00,5.514,237
298,2021-09-27 01:00:00+00:00,5.313,244
299,2021-09-28 01:00:00+00:00,5.323,196
300,2021-09-29 01:00:00+00:00,5.204,214
301,2021-09-30 01:00:00+00:00,5.263,212
302,2021-10-01 01:00:00+00:00,5.453,275
303,2021-10-02 01:00:00+00:00,5.584,257
304,2021-10-03 01:00:00+00:00,6.036,269
305,2021-10-04 01:00:00+00:00,6.105,210
306,2021-10-05 01:00:00+00:00,6.057,216
307,2021-10-06 01:00:00+00:00,6.005,212
308,2021-10-07 01:00:00+00:00,5.765,190
309,2021-10-08 01:00:00+00:00,5.942,210
310,2021-10-09 01:00:00+00:00,5.881,217
311,2021-10-10 01:00:00+00:00,5.899,206
312,2021-10-11 01:00:00+00:00,5.92,169
313,2021-10-12 01:00:00+00:00,5.94,201
314,2021-10-13 01:00:00+00:00,5.864,176
315,2021-10-14 01:00:00+00:00,5.962,195
316,2021-10-15 01:00:00+00:00,5.986,187
317,2021-10-16 01:00:00+00:00,5.862,211
318,2021-10-17 01:00:00+00:00,5.873,187
319,2021-10-18 01:00:00+00:00,5.705,158
320,2021-10-19 01:00:00+00:00,5.735,201
321,2021-10-20 01:00:00+00:00,5.649,148
322,2021-10-21 01:00:00+00:00,5.505,172
323,2021-10-22 01:00:00+00:00,5.331,480
324,2021-10-23 01:00:00+00:00,5.169,269
325,2021-10-24 01:00:00+00:00,5.321,222
326,2021-10-25 01:00:00+00:00,5.402,226
327,2021-10-26 01:00:00+00:00,5.408,218
328,2021-10-27 01:00:00+00:00,5.276,174
329,2021-10-28 01:00:00+00:00,5.386,152
330,2021-10-29 01:00:00+00:00,5.415,245
331,2021-10-30 01:00:00+00:00,5.646,263
332,2021-10-31 01:00:00+00:00,5.602,219
333,2021-11-01 01:00:00+00:00,5.583,197
334,2021-11-02 01:00:00+00:00,5.644,161
335,2021-11-03 01:00:00+00:00,5.825,196
336,2021-11-04 01:00:00+00:00,5.723,163
337,2021-11-05 01:00:00+00:00,5.77,154
338,2021-11-06 01:00:00+00:00,5.768,205
339,2021-11-07 01:00:00+00:00,5.624,210
340,2021-11-08 01:00:00+00:00,5.503,220
341,2021-11-09 01:00:00+00:00,5.728,276
342,2021-11-10 01:00:00+00:00,5.279,247
343,2021-11-11 01:00:00+00:00,5.376,166
344,2021-11-12 01:00:00+00:00,5.344,181
345,2021-11-13 01:00:00+00:00,5.502,190
346,2021-11-14 01:00:00+00:00,5.465,171
347,2021-11-15 01:00:00+00:00,5.61,132
348,2021-11-16 01:00:00+00:00,5.617,151
349,2021-11-17 01:00:00+00:00,5.638,163
350,2021-11-18 01:00:00+00:00,5.783,174
351,2021-11-19 01:00:00+00:00,5.697,185
352,2021-11-20 01:00:00+00:00,5.832,178
353,2021-11-21 01:00:00+00:00,5.919,157
354,2021-11-22 01:00:00+00:00,5.712,128
355,2021-11-23 01:00:00+00:00,5.763,131
356,2021-11-24 01:00:00+00:00,5.698,153
357,2021-11-25 01:00:00+00:00,5.494,214
358,2021-11-26 01:00:00+00:00,5.501,197
359,2021-11-27 01:00:00+00:00,5.449,200
360,2021-11-28 01:00:00+00:00,5.686,205
361,2021-11-29 01:00:00+00:00,5.775,170
362,2021-11-30 01:00:00+00:00,5.537,237
363,2021-12-01 01:00:00+00:00,5.825,184
364,2021-12-02 01:00:00+00:00,6.095,150
365,2021-12-03 01:00:00+00:00,6.18,158
366,2021-12-04 01:00:00+00:00,6.44,184
367,2021-12-05 01:00:00+00:00,6.644,183
368,2021-12-06 01:00:00+00:00,6.679,152
369,2021-12-07 01:00:00+00:00,6.683,134
370,2021-12-08 01:00:00+00:00,6.713,142
371,2021-12-09 01:00:00+00:00,6.648,131
372,2021-12-10 01:00:00+00:00,6.884,148
373,2021-12-11 01:00:00+00:00,6.944,160
374,2021-12-12 01:00:00+00:00,6.981,138
375,2021-12-13 01:00:00+00:00,6.778,142
376,2021-12-14 01:00:00+00:00,6.935,113
377,2021-12-15 01:00:00+00:00,6.767,160
378,2021-12-16 01:00:00+00:00,6.821,127
379,2021-12-17 01:00:00+00:00,6.798,104
380,2021-12-18 01:00:00+00:00,6.941,174
381,2021-12-19 01:00:00+00:00,7.154,150
382,2021-12-20 01:00:00+00:00,7.104,119
383,2021-12-21 01:00:00+00:00,6.984,115
384,2021-12-22 01:00:00+00:00,6.646,146
385,2021-12-23 01:00:00+00:00,6.648,173
386,2021-12-24 01:00:00+00:00,6.793,189
387,2021-12-25 01:00:00+00:00,6.951,181
388,2021-12-26 01:00:00+00:00,7.016,161
389,2021-12-27 01:00:00+00:00,7.099,159
390,2021-12-28 01:00:00+00:00,7.161,159
391,2021-12-29 01:00:00+00:00,7.413,143
392,2021-12-30 01:00:00+00:00,7.401,143
393,2021-12-31 01:00:00+00:00,7.72,153
394,2022-01-01 01:00:00+00:00,7.603,154
395,2022-01-02 01:00:00+00:00,7.365,151
396,2022-01-03 01:00:00+00:00,7.422,163
397,2022-01-04 01:00:00+00:00,7.379,176
398,2022-01-05 01:00:00+00:00,7.432,149
399,2022-01-06 01:00:00+00:00,7.729,135
400,2022-01-07 01:00:00+00:00,7.894,142
401,2022-01-08 01:00:00+00:00,8.268,155
402,2022-01-09 01:00:00+00:00,8.21,139
403,2022-01-10 01:00:00+00:00,7.939,130
404,2022-01-11 01:00:00+00:00,8.03,118
405,2022-01-12 01:00:00+00:00,8.008,120
406,2022-01-13 01:00:00+00:00,8.01,118
407,2022-01-14 01:00:00+00:00,7.853,138
408,2022-01-15 01:00:00+00:00,8.111,144
409,2022-01-16 01:00:00+00:00,8.076,141
410,2022-01-17 01:00:00+00:00,7.943,114
411,2022-01-18 01:00:00+00:00,7.913,110
412,2022-01-19 01:00:00+00:00,7.788,116
413,2022-01-20 01:00:00+00:00,7.819,144
414,2022-01-21 01:00:00+00:00,7.759,178
415,2022-01-22 01:00:00+00:00,7.848,146
416,2022-01-23 01:00:00+00:00,7.568,161
417,2022-01-24 01:00:00+00:00,7.547,139
418,2022-01-25 01:00:00+00:00,7.442,135
419,2022-01-26 01:00:00+00:00,7.55,159
420,2022-01-27 01:00:00+00:00,7.482,135
421,2022-01-28 01:00:00+00:00,7.378,161
422,2022-01-29 01:00:00+00:00,7.51,168
423,2022-01-30 01:00:00+00:00,7.44,149
424,2022-01-31 01:00:00+00:00,7.417,165
425,2022-02-01 01:00:00+00:00,7.503,156
426,2022-02-02 01:00:00+00:00,7.676,161
427,2022-02-03 01:00:00+00:00,7.496,197
428,2022-02-04 01:00:00+00:00,7.362,160
429,2022-02-05 01:00:00+00:00,7.646,167
430,2022-02-06 01:00:00+00:00,7.777,163
431,2022-02-07 01:00:00+00:00,7.68,143
432,2022-02-08 01:00:00+00:00,7.813,150
433,2022-02-09 01:00:00+00:00,7.707,155
434,2022-02-10 01:00:00+00:00,8.008,136
435,2022-02-11 01:00:00+00:00,7.959,129
436,2022-02-12 01:00:00+00:00,7.99,137
437,2022-02-13 01:00:00+00:00,8.098,131
438,2022-02-14 01:00:00+00:00,8.043,128
439,2022-02-15 01:00:00+00:00,7.967,119
440,2022-02-16 01:00:00+00:00,8.082,166
441,2022-02-17 01:00:00+00:00,8.345,139
442,2022-02-18 01:00:00+00:00,8.671,142
443,2022-02-19 01:00:00+00:00,8.684,165
444,2022-02-20 01:00:00+00:00,8.551,132
445,2022-02-21 01:00:00+00:00,8.502,118
446,2022-02-22 01:00:00+00:00,8.459,140
447,2022-02-23 01:00:00+00:00,8.458,127
448,2022-02-24 01:00:00+00:00,8.339,140
449,2022-02-25 01:00:00+00:00,8.319,155
450,2022-02-26 01:00:00+00:00,8.525,130
451,2022-02-27 01:00:00+00:00,8.67,138
452,2022-02-28 01:00:00+00:00,8.237,126
453,2022-03-01 01:00:00+00:00,8.57,137
454,2022-03-02 01:00:00+00:00,8.643,146
455,2022-03-03 01:00:00+00:00,8.505,146
456,2022-03-04 01:00:00+00:00,8.765,159
457,2022-03-05 01:00:00+00:00,8.86,155
458,2022-03-06 01:00:00+00:00,8.944,156
459,2022-03-07 01:00:00+00:00,8.746,141
460,2022-03-08 01:00:00+00:00,8.682,162
461,2022-03-09 01:00:00+00:00,8.668,141
462,2022-03-10 01:00:00+00:00,8.87,137
463,2022-03-11 01:00:00+00:00,9.555,128
464,2022-03-12 01:00:00+00:00,9.406,160
465,2022-03-13 01:00:00+00:00,9.373,117
466,2022-03-14 01:00:00+00:00,9.477,119
467,2022-03-15 01:00:00+00:00,9.328,127
468,2022-03-16 01:00:00+00:00,9.33,126
469,2022-03-17 01:00:00+00:00,9.355,134
470,2022-03-18 01:00:00+00:00,9.572,113
471,2022-03-19 01:00:00+00:00,9.572,132
472,2022-03-20 01:00:00+00:00,9.776,131
473,2022-03-21 01:00:00+00:00,9.565,117
474,2022-03-22 01:00:00+00:00,10.005,120
475,2022-03-23 01:00:00+00:00,9.826,140
476,2022-03-24 01:00:00+00:00,9.875,129
477,2022-03-25 01:00:00+00:00,9.948,115
478,2022-03-26 01:00:00+00:00,9.991,131
479,2022-03-27 01:00:00+00:00,9.994,134
480,2022-03-28 01:00:00+00:00,10.125,112
481,2022-03-29 01:00:00+00:00,9.843,117
482,2022-03-30 01:00:00+00:00,9.941,113
483,2022-03-31 01:00:00+00:00,10.084,122
484,2022-04-01 01:00:00+00:00,10.111,126
485,2022-04-02 01:00:00+00:00,10.675,139
486,2022-04-03 01:00:00+00:00,10.973,147
487,2022-04-04 01:00:00+00:00,10.87,115
488,2022-04-05 01:00:00+00:00,10.993,123
489,2022-04-06 01:00:00+00:00,11.096,95
490,2022-04-07 01:00:00+00:00,11.031,100
491,2022-04-08 01:00:00+00:00,11.15,103
492,2022-04-09 01:00:00+00:00,11.199,114
493,2022-04-10 01:00:00+00:00,11.309,147
494,2022-04-11 01:00:00+00:00,11.238,104
495,2022-04-12 01:00:00+00:00,11.268,102
496,2022-04-13 01:00:00+00:00,10.893,99
497,2022-04-14 01:00:00+00:00,11.137,104
498,2022-04-15 01:00:00+00:00,11.089,118
499,2022-04-16 01:00:00+00:00,11.165,117
500,2022-04-17 01:00:00+00:00,11.281,113
501,2022-04-18 01:00:00+00:00,11.371,89
502,2022-04-19 01:00:00+00:00,11.388,81
503,2022-04-20 01:00:00+00:00,11.183,81
504,2022-04-21 01:00:00+00:00,11.177,97
505,2022-04-22 01:00:00+00:00,11.226,109
506,2022-04-23 01:00:00+00:00,11.316,126
507,2022-04-24 01:00:00+00:00,11.227,118
508,2022-04-25 01:00:00+00:00,11.177,96
509,2022-04-26 01:00:00+00:00,11.349,95
510,2022-04-27 01:00:00+00:00,10.993,99
511,2022-04-28 01:00:00+00:00,11.319,100
512,2022-04-29 01:00:00+00:00,11.348,87
513,2022-04-30 01:00:00+00:00,11.418,121
514,2022-05-01 01:00:00+00:00,11.263,127
515,2022-05-02 01:00:00+00:00,11.225,99
516,2022-05-03 01:00:00+00:00,11.359,92
517,2022-05-04 01:00:00+00:00,10.648,331
518,2022-05-05 01:00:00+00:00,10.656,164
519,2022-05-06 01:00:00+00:00,10.651,144
520,2022-05-07 01:00:00+00:00,10.807,137
521,2022-05-08 01:00:00+00:00,10.984,137
522,2022-05-09 01:00:00+00:00,10.724,131
523,2022-05-10 01:00:00+00:00,10.966,88
524,2022-05-11 01:00:00+00:00,10.84,92
525,2022-05-12 01:00:00+00:00,10.841,110
526,2022-05-13 01:00:00+00:00,11.002,127
527,2022-05-14 01:00:00+00:00,11.096,101
528,2022-05-15 01:00:00+00:00,10.841,108
529,2022-05-16 01:00:00+00:00,10.957,84
530,2022-05-17 01:00:00+00:00,10.966,105
531,2022-05-18 01:00:00+00:00,10.775,118
532,2022-05-19 01:00:00+00:00,10.742,109
533,2022-05-20 01:00:00+00:00,10.73,107
534,2022-05-21 01:00:00+00:00,10.82,96
535,2022-05-22 01:00:00+00:00,10.781,86
536,2022-05-23 01:00:00+00:00,10.837,96
537,2022-05-24 01:00:00+00:00,10.817,107
538,2022-05-25 01:00:00+00:00,10.93,111
539,2022-05-26 01:00:00+00:00,11.083,116
540,2022-05-27 01:00:00+00:00,10.92,94
541,2022-05-28 01:00:00+00:00,10.972,94
542,2022-05-29 01:00:00+00:00,11.121,105
543,2022-05-30 01:00:00+00:00,10.707,113
544,2022-05-31 01:00:00+00:00,10.967,88
545,2022-06-01 01:00:00+00:00,11.125,97
546,2022-06-02 01:00:00+00:00,11.142,96
547,2022-06-03 01:00:00+00:00,10.902,142
548,2022-06-04 01:00:00+00:00,11.072,129
549,2022-06-05 01:00:00+00:00,10.854,127
550,2022-06-06 01:00:00+00:00,10.88,87
551,2022-06-07 01:00:00+00:00,11.103,94
552,2022-06-08 01:00:00+00:00,11.116,95
553,2022-06-09 01:00:00+00:00,11.232,102
554,2022-06-10 01:00:00+00:00,10.798,118
555,2022-06-11 01:00:00+00:00,11.152,102
556,2022-06-12 01:00:00+00:00,11.054,102
557,2022-06-13 01:00:00+00:00,10.996,99
558,2022-06-14 01:00:00+00:00,10.759,99
559,2022-06-15 01:00:00+00:00,10.809,107
560,2022-06-16 01:00:00+00:00,10.589,123
561,2022-06-17 01:00:00+00:00,10.769,104
562,2022-06-18 01:00:00+00:00,10.767,94
563,2022-06-19 01:00:00+00:00,10.704,105
564,2022-06-20 01:00:00+00:00,10.357,106
565,2022-06-21 01:00:00+00:00,10.311,99
566,2022-06-22 01:00:00+00:00,10.21,121
567,2022-06-23 01:00:00+00:00,10.044,123
568,2022-06-24 01:00:00+00:00,9.795,144
569,2022-06-25 01:00:00+00:00,9.874,123
570,2022-06-26 01:00:00+00:00,9.82,149
571,2022-06-27 01:00:00+00:00,9.779,133
572,2022-06-28 01:00:00+00:00,9.962,124
573,2022-06-29 01:00:00+00:00,10.04,110
574,2022-06-30 01:00:00+00:00,10.171,119
575,2022-07-01 01:00:00+00:00,10.526,104
576,2022-07-02 01:00:00+00:00,10.442,114
577,2022-07-03 01:00:00+00:00,10.655,135
578,2022-07-04 01:00:00+00:00,10.581,129
579,2022-07-05 01:00:00+00:00,10.503,145
580,2022-07-06 01:00:00+00:00,10.25,210
581,2022-07-07 01:00:00+00:00,10.128,144
582,2022-07-08 01:00:00+00:00,10.33,89
583,2022-07-09 01:00:00+00:00,10.625,115
584,2022-07-10 01:00:00+00:00,10.921,114
585,2022-07-11 01:00:00+00:00,10.721,97
586,2022-07-12 01:00:00+00:00,10.86,107
587,2022-07-13 01:00:00+00:00,11.147,68
588,2022-07-14 01:00:00+00:00,10.931,108
589,2022-07-15 01:00:00+00:00,11.312,109
590,2022-07-16 01:00:00+00:00,11.16,106
591,2022-07-17 01:00:00+00:00,11.341,103
592,2022-07-18 01:00:00+00:00,10.988,97
593,2022-07-19 01:00:00+00:00,11.177,105
594,2022-07-20 01:00:00+00:00,12.151,62
595,2022-07-21 01:00:00+00:00,11.196,110
596,2022-07-22 01:00:00+00:00,11.588,105
597,2022-07-23 01:00:00+00:00,11.311,114
598,2022-07-24 01:00:00+00:00,11.359,102
599,2022-07-25 01:00:00+00:00,11.801,85
600,2022-07-26 01:00:00+00:00,11.372,99
601,2022-07-27 01:00:00+00:00,11.6,101
602,2022-07-28 01:00:00+00:00,11.418,108
603,2022-07-29 01:00:00+00:00,11.556,89
604,2022-07-30 01:00:00+00:00,11.634,102
605,2022-07-31 01:00:00+00:00,11.787,103
606,2022-08-01 01:00:00+00:00,12.006,105
607,2022-08-02 01:00:00+00:00,12.13,114
608,2022-08-03 01:00:00+00:00,12.345,99
609,2022-08-04 01:00:00+00:00,12.136,110
610,2022-08-05 01:00:00+00:00,12.53,87
611,2022-08-06 01:00:00+00:00,12.574,119
612,2022-08-07 01:00:00+00:00,12.383,106
613,2022-08-08 01:00:00+00:00,13.094,86
614,2022-08-09 01:00:00+00:00,12.413,70
615,2022-08-10 01:00:00+00:00,12.496,120
616,2022-08-11 01:00:00+00:00,12.641,112
617,2022-08-12 01:00:00+00:00,12.776,111
618,2022-08-13 01:00:00+00:00,12.868,101
